,Name,Inches,RAM,ROM,OS,Price,Links
93,Xiaomi 11 Lite 5G NE,6.55 inches,8 GB,128 GB,"MIUI 12.5, Android 11",94900000.0,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html
94,OnePlus 11 16GB 256GB,6.7 inches,16 GB,256 GB,OxygenOS trên nền tảng Android™ 13,199900000.0,https://cellphones.com.vn/oneplus-11.html
95,Tecno Spark 10 Pro 8GB 256GB,6.78 inches,8 GB,256 GB,Android 13,44900000.0,https://cellphones.com.vn/tecno-spark-10-pro-8gb-256gb.html
96,OPPO Reno8 T 256GB,6.4 inches,8 GB,256 GB,"ColorOS 13, nền tảng Android 13",8490000.0,https://cellphones.com.vn/oppo-reno-8t-4g-256gb.html
97,Samsung Galaxy S22 (8GB - 256GB),6.1 inches,8 GB,256 GB,Android 12,234900000.0,https://cellphones.com.vn/samsung-galaxy-s22-256gb.html
98,Samsung Galaxy S23 Ultra 12GB 1TB,6.8 inches,12 GB,1 TB,Android,449900000.0,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-1tb.html
99,Xiaomi Redmi Note 11 128GB,6.43 inches,4 GB,128 GB,"Android 11, MIUI 12.5",4090000.0,https://cellphones.com.vn/xiaomi-redmi-note-11-128gb.html
100,Samsung Galaxy A04,6.5 inches,3 GB,32 GB,"Android 12, OneUI 4",29900000.0,https://cellphones.com.vn/samsung-galaxy-a04.html
101,OPPO A16K,6.52 inches,3 GB,32 GB,Android 11,36900000.0,https://cellphones.com.vn/oppo-a16k.html
102,realme C55 8GB 256GB,6.72 inches,8 GB,256 GB,Android 13,59900000.0,https://cellphones.com.vn/realme-c55-8gb-256gb.html
103,OPPO A77s,6.56 inches,8 GB,128 GB,Android 12,6290000.0,https://cellphones.com.vn/oppo-a77s.html
104,Samsung Galaxy A54 8GB 256GB,6.4 inches,8 GB,256 GB,Android 13,114900000.0,https://cellphones.com.vn/samsung-galaxy-a54-8gb-256gb.html
105,Xiaomi POCO X5 Pro 8GB 256GB,6.67 inches,8 GB,256 GB,MIUI 14 cho POCO,86900000.0,https://cellphones.com.vn/poco-x5-pro-256gb.html
106,Samsung Galaxy A23 4G,6.6 inches,4 GB,128 GB,Android 12,56900000.0,https://cellphones.com.vn/samsung-galaxy-a23.html
107,Xiaomi POCO M5 6GB 128GB,6.58 inches,6 GB,128 GB,Android 12,46900000.0,https://cellphones.com.vn/xiaomi-poco-m5-6gb-128gb.html
108,OPPO Reno7 (5G),6.43 inches,8 GB,256 GB,"Android 11, ColorOS 12",129900000.0,https://cellphones.com.vn/oppo-reno-7.html
109,Xiaomi Poco F4,6.67 inches,6 GB,128 GB,MIUI 13,89900000.0,https://cellphones.com.vn/xiaomi-poco-f4.html
110,Samsung Galaxy Z Flip4 256GB,6.7 inches,8 GB,256 GB,Android 12,259900000.0,https://cellphones.com.vn/samsung-galaxy-z-flip-4-256gb.html
111,Xiaomi 11T Pro,6.67 inches,12 GB,256 GB,"Android 11, MIUI 12.5",11990000.0,https://cellphones.com.vn/xiaomi-mi-11t-pro.html
112,Samsung Galaxy Z Fold3 5G,7.6 inches,12 GB,256 GB,Android 11,22990000.0,https://cellphones.com.vn/samsung-galaxy-z-fold-3.html
113,iPhone 13 mini 128GB | Chính hãng VN/A,5.4 inches,4 GB,128 GB,iOS15,219900000.0,https://cellphones.com.vn/iphone-13-mini.html
114,OPPO Reno7 Z (5G),6.43 inches,8 GB,128 GB,Android 11 - ColorOS 12,99900000.0,https://cellphones.com.vn/oppo-reno7-z.html
