,Name,Price,Cpu,Ram,Rom
35,Laptop Asus Gaming ROG Strix G16 G614JU i7 13650HX/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3777W),39.990.000₫ *,i7 13650HX 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
36,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),38.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
37,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),38.990.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
38,Laptop Acer Gaming Predator Helios Neo 16 PHN16 71 7460 i7 13700HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (NH.QLTSV.004),38.990.000₫,i7 13700HX 2.1GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)"
39,N/A,38.390.000₫,N/A,N/A,N/A
40,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),36.990.000₫ *,i7 1355U 1.7GHz,16 GB LPDDR5 (Onboard) 5500 MHz,512 GB SSD NVMe PCIe Gen 4.0
41,Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (N3135W),36.690.000₫ *,i5 13450HX 2.4GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
42,Laptop Acer Gaming Predator Helios Neo 16 PHN16 71 54CD i5 13500HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (NH.QLTSV.001),35.990.000₫,i5 13500HX 2.5GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
43,Laptop Acer Gaming Nitro 17 Phoenix AN17 51 50B9 i5 13500H/8GB/512GB/6GB RTX4050/165Hz/Win11 (NH.QK5SV.001),35.490.000₫,i5 13500H 2.6GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
44,Laptop Apple MacBook Pro 13 inch M1 2020 8-core CPU/16GB/512GB/8-core GPU (Z11C),34.990.000₫,Apple M1,16 GB,512 GB SSD
45,N/A,34.490.000₫,N/A,N/A,N/A
